projid,external_management,client_base,risk,contract_type,Contractor_type,Delivery_model,state,jv,Sector,Profit Center Lock indicator,recur_revenue,Service_focus,Contract_type2,actual_margin,original_bid_margin,Days,start_year,Bid_margin_per_day
196,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,382408.84,154026.15,97,2015," 1,588 "
197,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-345.17,5579.05,67,2015, 83 
198,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,6140011.4,3434645.39,97,2015," 35,409 "
199,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,562772.34,137498.94,97,2015," 1,418 "
200,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,4851449.45,1986327.31,97,2015," 20,478 "
201,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,755915.01,721588.82,97,2015," 7,439 "
202,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,741994.21,1437326.82,423,2015," 3,398 "
203,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-653766.65,2138443.61,158,2015," 13,534 "
204,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,2300179.1,2831990.84,97,2015," 29,196 "
205,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,397783.07,313789.65,67,2015," 4,683 "
206,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,0,0.37,97,2015, 0 
207,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,730996.79,2226861.78,97,2015," 22,957 "
208,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,1712115.77,1607241.69,97,2015," 16,570 "
209,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-768143.09,330097.66,67,2015," 4,927 "
210,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,201833.34,421387.08,67,2015," 6,289 "
211,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,5477421.49,6187219.49,51,2015," 121,318 "
212,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-976554.79,1057927.59,97,2015," 10,906 "
213,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1405671.02,2593951.58,67,2015," 38,716 "
214,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,359653.11,1249371.43,67,2015," 18,647 "
215,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1046846.64,368405.15,67,2015," 5,499 "
216,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,69382.86,28020.94,67,2015, 418 
217,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1147407.13,1251965.23,67,2015," 18,686 "
